dgeqrf,  16, 34.192117, 171.519037, 1489088639897951211, 1489088674090043869, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  16, 34.240750, 171.275423, 1489088674659145701, 1489088708899890294, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  16, 34.105268, 171.955809, 1489088709490984344, 1489088743596246060, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  16, 34.040364, 172.283675, 1489088744136807768, 1489088778177166704, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  16, 34.162716, 171.666648, 1489088778744689573, 1489088812907400083, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  16, 34.116569, 171.898849, 1489088813474060609, 1489088847590624687, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 128, 40.181681, 1167.56299, 1489088849380045722, 1489088889561705696, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 39.915121, 1175.36018, 1489088892457727013, 1489088932372844042, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 39.878314, 1176.44501, 1489088935156634616, 1489088975034945124, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 39.966079, 1173.86155, 1489088977930260000, 1489089017896333503, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 39.783907, 1179.23671, 1489089020804879437, 1489089060588781950, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 39.804930, 1178.61390, 1489089063526968917, 1489089103331894468, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  96,  8.424869, 696.105651, 1489089105871814555, 1489089114296650955, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96,  8.296397, 706.885047, 1489089115254630194, 1489089123551022241, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96,  8.320903, 704.803183, 1489089124555227230, 1489089132876123473, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96,  8.291016, 707.343836, 1489089133848646373, 1489089142139655863, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96,  8.261312, 709.887117, 1489089143115235635, 1489089151376540403, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96,  8.320538, 704.834102, 1489089152372991440, 1489089160693523370, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 31.683837, 1480.71219, 1489089163022980756, 1489089194706792964, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 31.475810, 1490.49837, 1489089198166340521, 1489089229642146488, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 31.476979, 1490.44302, 1489089233098234787, 1489089264575209197, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 31.428328, 1492.75022, 1489089268030698516, 1489089299459022860, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 31.460632, 1491.21745, 1489089302881493499, 1489089334342122032, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 31.266925, 1500.45594, 1489089337803014070, 1489089369069935908, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 38.869536, 1206.97720, 1489089373224965962, 1489089412094476570, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 38.552611, 1216.89925, 1489089415548768808, 1489089454101375082, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 38.641768, 1214.09154, 1489089457532035741, 1489089496173798992, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 38.731819, 1211.26879, 1489089499615637157, 1489089538347451263, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 38.732970, 1211.23280, 1489089541770720709, 1489089580503686686, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 38.814091, 1208.70134, 1489089583946560384, 1489089622760646953, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32,  19.106743, 306.938704, 1489089625701231775, 1489089644807953664, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32,  19.150622, 306.235428, 1489089645459598546, 1489089664610215587, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32,  19.085684, 307.277382, 1489089665283819168, 1489089684369498456, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32,  19.149880, 306.247297, 1489089685026250115, 1489089704176125496, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
