dpotrf, 8, 87.340684, 134.286341, 1489087127151641116, 1489087214492299864, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 88.203812, 132.972268, 1489087216353170014, 1489087304556975400, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 88.178143, 133.010976, 1489087306419737981, 1489087394597874373, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 88.116854, 133.103491, 1489087396460781244, 1489087484577627914, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 88.298089, 132.830292, 1489087486461172705, 1489087574759253921, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 88.338632, 132.769329, 1489087576630321006, 1489087664968944906, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 3.165758, 463.127558, 1489087666270322368, 1489087669436059017, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 32, 3.181953, 460.770397, 1489087670003937598, 1489087673185884233, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 32, 3.206747, 457.207787, 1489087673763847426, 1489087676970587945, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 32, 3.176001, 461.633888, 1489087677549794690, 1489087680725788905, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 32, 3.211613, 456.515076, 1489087681301048642, 1489087684512654899, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 32, 3.169865, 462.527513, 1489087685083470750, 1489087688253329441, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 32, 23.038898, 509.08082, 1489087691351041351, 1489087714389876018, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 22.920396, 511.71287, 1489087716858080482, 1489087739778469208, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 22.913803, 511.86002, 1489087742136766759, 1489087765050561678, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 22.968048, 510.65117, 1489087767368155990, 1489087790336194811, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 22.969164, 510.62630, 1489087792644120875, 1489087815613278067, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 22.987203, 510.22566, 1489087817913588614, 1489087840900783433, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 6.799982, 1724.8072, 1489087843084889561, 1489087849884844529, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 6.631825, 1768.5418, 1489087852514419228, 1489087859146239411, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 6.620623, 1771.5346, 1489087861785462377, 1489087868406079733, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 6.649347, 1763.8815, 1489087871062105525, 1489087877711446735, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 6.610813, 1774.1639, 1489087880360918223, 1489087886971724401, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 6.752401, 1736.9618, 1489087889760256620, 1489087896512650991, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 8.525100, 1375.77984, 1489087899363960459, 1489087907889034745, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 8.375868, 1400.29191, 1489087910628645542, 1489087919004506662, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 8.463091, 1385.86027, 1489087921906151989, 1489087930369235207, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 8.364450, 1402.20345, 1489087933203837009, 1489087941568279709, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 8.429834, 1391.32762, 1489087944401175745, 1489087952831002639, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 8.358832, 1403.14586, 1489087955765133161, 1489087964123958179, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 11.342674, 129.259619, 1489087966817661092, 1489087978160204233, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 8, 11.363428, 129.023543, 1489087978645472240, 1489087990008892108, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 8, 11.398792, 128.623257, 1489087990464995334, 1489088001863781344, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 8, 11.441478, 128.143385, 1489088002313683329, 1489088013755154201, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 8, 11.450590, 128.041414, 1489088014217946556, 1489088025668529885, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 8, 11.414410, 128.447262, 1489088026154336921, 1489088037568739770, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.279270, 643.254030, 1489088038369594898, 1489088040648839469, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.263986, 647.596675, 1489088041281464817, 1489088043545443772, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.237883, 655.150276, 1489088044169272621, 1489088046407149558, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.265953, 647.034463, 1489088047047473087, 1489088049313419165, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.324028, 630.865770, 1489088049940526462, 1489088052264547936, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.279056, 643.314459, 1489088052895776237, 1489088055174825762, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 5.193471, 2258.3472, 1489088056955719042, 1489088062149161484, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 4.827176, 2429.7147, 1489088065285393227, 1489088070112564595, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 4.832856, 2426.8592, 1489088073201932428, 1489088078034783000, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 4.924274, 2381.8051, 1489088081163713475, 1489088086087984596, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 4.942439, 2373.0511, 1489088089203612579, 1489088094146046153, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 4.786783, 2450.2178, 1489088097286603283, 1489088102073381529, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.250576, 1876.4128, 1489088105533489476, 1489088111784038173, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.015089, 1949.8732, 1489088114890168386, 1489088120905251999, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.132218, 1912.6294, 1489088123988121240, 1489088130120334358, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.076533, 1930.1566, 1489088133219004292, 1489088139295533866, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
