dgeqrf, 48, 103.143558, 454.84802, 1489098403292523928, 1489098506436058040, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 102.992947, 455.51316, 1489098509312460011, 1489098612305388736, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 103.191758, 454.63557, 1489098615168737058, 1489098718360486276, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 103.331343, 454.02142, 1489098721236478596, 1489098824567776014, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 103.416856, 453.64600, 1489098827453964305, 1489098930870814225, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 103.297607, 454.16970, 1489098933720486130, 1489099037018086177, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 15.112078, 388.07363, 1489099038928705069, 1489099054040759782, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 128, 12.287790, 477.27043, 1489099055043098136, 1489099067330880824, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 128, 11.866253, 494.22501, 1489099068422605894, 1489099080288845649, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 128, 11.810550, 496.55595, 1489099081326034300, 1489099093136577451, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 128, 11.608432, 505.20165, 1489099094158821864, 1489099105767246191, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 128, 11.684171, 501.92683, 1489099106833085914, 1489099118517250284, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,   8, 63.416596, 92.477353, 1489099120250606370, 1489099183667178310, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,   8, 63.538132, 92.300462, 1489099184200791298, 1489099247738916644, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,   8, 63.416782, 92.477082, 1489099248274800811, 1489099311691574692, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,   8, 63.354839, 92.567498, 1489099312224928376, 1489099375579760551, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,   8, 63.445419, 92.435342, 1489099376117838797, 1489099439563251021, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,   8, 63.502773, 92.351856, 1489099440099546526, 1489099503602251574, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 60.984959, 769.28220, 1489099506253689023, 1489099567238622057, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 52.587937, 892.11797, 1489099572175222483, 1489099624763152981, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 53.742413, 872.95380, 1489099629754415047, 1489099683496821552, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 53.576228, 875.66156, 1489099688538506218, 1489099742114727375, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 53.870736, 870.87437, 1489099747102854590, 1489099800973584955, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 54.327027, 863.55993, 1489099805957470352, 1489099860284492756, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
