dpotrf, 32, 25.425548, 461.294324, 1489096618298594778, 1489096643724116665, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 25.489655, 460.134156, 1489096646123625600, 1489096671613273715, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 25.504229, 459.871223, 1489096673959211658, 1489096699463433545, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 25.474812, 460.402255, 1489096701824544410, 1489096727299347923, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 25.445576, 460.931241, 1489096729638163756, 1489096755083695119, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 25.460502, 460.661021, 1489096757470727548, 1489096782931221570, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 21.271025, 551.39143, 1489096785635979549, 1489096806906977917, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 11.073808, 1059.1353, 1489096810454693867, 1489096821528494580, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 13.370829, 877.18277, 1489096825099722450, 1489096838470543235, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 13.186208, 889.46427, 1489096841951456799, 1489096855137658304, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 13.411422, 874.52776, 1489096858626275786, 1489096872037691272, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 13.813843, 849.05126, 1489096875465199350, 1489096889279035941, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf,  8, 11.382188, 128.810885, 1489096892060364850, 1489096903442474274, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  8, 11.388015, 128.744976, 1489096903912083608, 1489096915300089750, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  8, 11.386739, 128.759404, 1489096915758292538, 1489096927145024169, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  8, 11.445088, 128.102965, 1489096927627518765, 1489096939072597885, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  8, 11.439901, 128.161051, 1489096939540551753, 1489096950980400297, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  8, 11.455624, 127.985146, 1489096951438860988, 1489096962894475686, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  16, 6.355462, 230.691287, 1489096963593025105, 1489096969948460327, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  16, 6.374653, 229.996786, 1489096970574163119, 1489096976948799107, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  16, 6.390532, 229.425300, 1489096977525755432, 1489096983916279297, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  16, 6.367410, 230.258407, 1489096984454821306, 1489096990822222175, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  16, 6.356905, 230.638924, 1489096991338915568, 1489096997695811783, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  16, 6.390746, 229.417622, 1489096998191987393, 1489097004582724105, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 46.681221, 251.250088, 1489097006685679839, 1489097053366873004, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 46.667270, 251.325199, 1489097055340889405, 1489097102008151759, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 46.626567, 251.544595, 1489097103954565725, 1489097150581125834, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 46.570561, 251.847104, 1489097152557004543, 1489097199127557247, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 46.589610, 251.744131, 1489097201074898723, 1489097247664502119, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 46.677040, 251.272593, 1489097249631139949, 1489097296308172496, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48,  2.483185, 590.431174, 1489097297721963835, 1489097300205065003, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48,  2.508266, 584.527215, 1489097300903604046, 1489097303411860567, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48,  2.496406, 587.304236, 1489097304132043919, 1489097306628441069, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48,  2.510226, 584.070859, 1489097307354756406, 1489097309864974965, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48,  2.505833, 585.094767, 1489097310579790967, 1489097313085614402, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48,  2.513294, 583.357830, 1489097313801833064, 1489097316315117372, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 21.769782, 538.758765, 1489097318296219389, 1489097340065975734, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 17.886019, 655.744630, 1489097342499826535, 1489097360385837434, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
