dgeqrf, 96, 64.635515, 725.833836, 1489110807451159655, 1489110872086641865, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 64.458587, 727.826128, 1489110877926852298, 1489110942385431167, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 64.427421, 728.178206, 1489110948192300344, 1489111012619703105, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 64.431756, 728.129212, 1489111018460672449, 1489111082892418818, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 64.486364, 727.512621, 1489111088708341156, 1489111153194697101, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 64.723318, 724.849178, 1489111159026821819, 1489111223750133218, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 8.421514, 696.382971, 1489111229069293219, 1489111237490778715, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 144, 8.040218, 729.407944, 1489111239025438338, 1489111247065601755, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 144, 8.389530, 699.037849, 1489111248567989206, 1489111256957511357, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 144, 8.269505, 709.183796, 1489111258437322084, 1489111266706779861, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 144, 7.894719, 742.850869, 1489111268186487951, 1489111276081199518, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 144, 8.383214, 699.564506, 1489111277591205285, 1489111285974411566, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 43.180053, 135.817317, 1489111287914769235, 1489111331094799057, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 43.010576, 136.352486, 1489111332537198206, 1489111375547765770, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 43.106917, 136.047747, 1489111376948289856, 1489111420055198449, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 43.257006, 135.575702, 1489111421488501467, 1489111464745499556, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 43.164448, 135.866419, 1489111466133962840, 1489111509298405277, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 43.048864, 136.231213, 1489111510733506526, 1489111553782363906, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
