dgeqrf, 96, 64.084876, 732.070448, 1489121177554051406, 1489121241638906482, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 63.571107, 737.986894, 1489121247489113199, 1489121311060212561, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 63.567840, 738.024820, 1489121316897184060, 1489121380465016516, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 63.487141, 738.962932, 1489121386293559925, 1489121449780666623, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 63.672343, 736.813529, 1489121455565968764, 1489121519238306284, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 63.466722, 739.200675, 1489121525036078023, 1489121588502793669, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 8.993784, 652.072475, 1489121593458028119, 1489121602451671551, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 144, 8.804114, 666.120299, 1489121604098826868, 1489121612902936050, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 144, 8.874168, 660.861843, 1489121614567702331, 1489121623441864227, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 144, 8.794005, 666.886005, 1489121625334714920, 1489121634128714241, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 144, 8.896110, 659.231835, 1489121635757215496, 1489121644653319466, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 144, 8.937201, 656.200856, 1489121646279237309, 1489121655216432254, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 38.866107, 150.892369, 1489121657067111596, 1489121695933196222, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 38.804821, 151.130679, 1489121697361343948, 1489121736166117861, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 38.757260, 151.316139, 1489121737562832500, 1489121776320084982, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 38.793951, 151.173026, 1489121777703112981, 1489121816497055811, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 38.809288, 151.113284, 1489121817860520529, 1489121856669798525, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 38.763583, 151.291458, 1489121858059719955, 1489121896823297474, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 8.431372, 695.568765, 1489121898622041350, 1489121907053391378, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 8.284838, 707.871293, 1489121908699128374, 1489121916983945882, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 8.222830, 713.209311, 1489121918697413966, 1489121926920239279, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 8.226788, 712.866179, 1489121928634218363, 1489121936861000094, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 8.204934, 714.764926, 1489121938607412934, 1489121946812341299, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 8.216977, 713.717329, 1489121948551795397, 1489121956768767120, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 328.93792, 142.624612, 1489121960473484115, 1489122289411383051, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 327.76268, 143.136012, 1489122294995599120, 1489122622758277150, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 327.58622, 143.213117, 1489122627918341036, 1489122955504553620, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 327.82743, 143.107743, 1489122960612291502, 1489123288439703563, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
