dpotrf, 128, 7.215924, 1625.3859, 1489107118684567245, 1489107125900404615, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 7.134753, 1643.8776, 1489107130671852518, 1489107137806498403, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 7.159059, 1638.2964, 1489107142818571363, 1489107149977621177, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 7.157641, 1638.6210, 1489107154992150021, 1489107162149731974, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 7.184952, 1632.3923, 1489107167189024533, 1489107174373969187, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 7.186020, 1632.1497, 1489107179445612120, 1489107186631618115, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 2.418476, 606.228801, 1489107190499046329, 1489107192917453268, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.469845, 593.620179, 1489107194056899994, 1489107196526735860, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.453022, 597.691224, 1489107197667771039, 1489107200120786008, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.455469, 597.095563, 1489107201263088255, 1489107203718549220, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.470909, 593.364488, 1489107204893349902, 1489107207364245086, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.429833, 603.395221, 1489107208450995946, 1489107210880749229, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 7.291123, 201.086958, 1489107212190515858, 1489107219481595793, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 7.278095, 201.446906, 1489107220599612580, 1489107227877700257, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 7.217311, 203.143490, 1489107229007766080, 1489107236225068008, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
