dpotrf, 128, 7.268642, 1613.5972, 1489108971867096686, 1489108979135713724, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 7.124748, 1646.1860, 1489108983845655580, 1489108990970396896, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 7.130116, 1644.9467, 1489108995741126214, 1489109002871235230, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 7.081495, 1656.2408, 1489109007666138768, 1489109014747627038, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 7.101490, 1651.5774, 1489109019554229891, 1489109026655714255, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 7.100313, 1651.8512, 1489109031428005225, 1489109038528302050, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 2.443843, 599.936163, 1489109042120387044, 1489109044564204071, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.431863, 602.891562, 1489109045601698596, 1489109048033553365, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.378350, 616.456666, 1489109049076518402, 1489109051454861419, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.373170, 617.802259, 1489109052486303282, 1489109054859466667, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.402975, 610.139379, 1489109055912722373, 1489109058315688676, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 2.406189, 609.324432, 1489109059354389305, 1489109061760569882, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 6.543132, 224.074612, 1489109062974386467, 1489109069517493621, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 6.579835, 222.824697, 1489109070594214782, 1489109077174031788, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 6.538284, 224.240750, 1489109078260155584, 1489109084798432686, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 6.552339, 223.759745, 1489109085851112587, 1489109092403442744, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 6.602878, 222.047068, 1489109093491035587, 1489109100093906089, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 6.600526, 222.126192, 1489109101272730951, 1489109107873199451, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 8, 13.181304, 111.229490, 1489109109204378856, 1489109122385659342, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 8, 13.105730, 111.870893, 1489109123579170829, 1489109136684893175, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 8, 13.093490, 111.975471, 1489109137915830226, 1489109151009312432, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 8, 13.125636, 111.701234, 1489109152312504330, 1489109165438132991, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 8, 13.150528, 111.489797, 1489109166732915319, 1489109179883435926, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 8, 13.140234, 111.577140, 1489109181114234133, 1489109194254460671, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 3.915943, 374.40528, 1489109195774980773, 1489109199690902432, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 5.440681, 269.47908, 1489109200944280638, 1489109206384955551, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 7.980628, 183.71357, 1489109207851911695, 1489109215832533657, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 6.693375, 219.04491, 1489109217070716704, 1489109223764085118, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 6.784506, 216.10265, 1489109225227569868, 1489109232012068935, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 7.704752, 190.29161, 1489109233295123754, 1489109240999869227, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 144, 1.407542, 1041.6383, 1489109242747653616, 1489109244155157522, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
