Exp total_cores kernel unit thread result
local_spread 1 dgemm gflops 0 11.2522
local_spread 1 dgemm gflops 0 17.1442
local_spread 1 dgemm gflops 0 17.1569
local_spread 1 dgemm gflops 0 17.1556
local_spread 1 dgemm gflops 0 17.159
local_spread 1 dgemm gflops 0 17.1479
local_spread 1 dgemm gflops 0 17.1594
local_spread 1 dgemm gflops 0 17.1479
local_spread 1 dgemm gflops 0 17.1597
local_spread 1 dgemm gflops 0 17.1446
local_spread 1 dgemm gflops 0 17.1576
local_spread 1 dgemm gflops 0 17.1602
local_spread 1 dgemm gflops 0 17.1545
local_spread 1 dgemm gflops 0 17.1535
local_spread 1 dgemm gflops 0 17.1577
local_spread 1 dgemm gflops 0 17.1526
local_spread 1 dgemm gflops 0 17.1535
local_spread 1 dgemm gflops 0 17.1514
local_spread 1 dgemm gflops 0 17.1523
local_spread 1 dgemm gflops 0 17.1548
local_spread 1 dgemm gflops 0 17.1557
local_spread 1 dgemm gflops 0 17.1549
local_spread 1 dgemm gflops 0 17.1519
local_spread 1 dgemm gflops 0 17.1617
local_spread 1 dgemm gflops 0 17.1525
local_spread 1 dgemm gflops 0 17.1542
local_spread 1 dgemm gflops 0 17.1507
local_spread 1 dgemm gflops 0 17.1446
local_spread 1 dgemm gflops 0 17.1112
local_spread 1 dgemm gflops 0 17.1447
local_spread 1 dgemm gflops 0 17.1486
local_spread 1 dgemm gflops 0 17.152
local_spread 1 dgemm gflops 0 17.1531
local_spread 1 dgemm gflops 0 17.1506
local_spread 1 dgemm gflops 0 17.1602
local_spread 1 dgemm gflops 0 17.1566
local_spread 1 dgemm gflops 0 17.1547
local_spread 1 dgemm gflops 0 17.1532
local_spread 1 dgemm gflops 0 17.1486
local_spread 1 dgemm gflops 0 17.1548
local_spread 1 dgemm gflops 0 17.1553
local_spread 1 dgemm gflops 0 17.1547
local_spread 1 dgemm gflops 0 17.1453
local_spread 1 dgemm gflops 0 17.15
local_spread 1 dgemm gflops 0 17.1519
local_spread 1 dgemm gflops 0 17.1544
local_spread 1 dgemm gflops 0 17.1552
local_spread 1 dgemm gflops 0 17.1542
local_spread 1 dgemm gflops 0 17.1426
local_spread 1 dgemm gflops 0 17.1583
local_spread 1 dgemm gflops 8 12.705
local_spread 1 dgemm gflops 8 17.1718
local_spread 1 dgemm gflops 8 17.1749
local_spread 1 dgemm gflops 8 17.1734
local_spread 1 dgemm gflops 8 17.1776
local_spread 1 dgemm gflops 8 17.1719
local_spread 1 dgemm gflops 8 17.1764
local_spread 1 dgemm gflops 8 17.1739
local_spread 1 dgemm gflops 8 17.1765
local_spread 1 dgemm gflops 8 17.1685
local_spread 1 dgemm gflops 8 17.18
local_spread 1 dgemm gflops 8 17.1746
local_spread 1 dgemm gflops 8 17.1794
local_spread 1 dgemm gflops 8 17.1771
local_spread 1 dgemm gflops 8 17.1784
local_spread 1 dgemm gflops 8 17.1742
local_spread 1 dgemm gflops 8 17.1725
local_spread 1 dgemm gflops 8 17.1734
local_spread 1 dgemm gflops 8 17.1756
local_spread 1 dgemm gflops 8 17.1784
local_spread 1 dgemm gflops 8 17.1732
local_spread 1 dgemm gflops 8 17.1744
local_spread 1 dgemm gflops 8 17.1737
local_spread 1 dgemm gflops 8 17.1764
local_spread 1 dgemm gflops 8 17.1731
local_spread 1 dgemm gflops 8 17.1792
local_spread 1 dgemm gflops 8 17.175
local_spread 1 dgemm gflops 8 17.1727
local_spread 1 dgemm gflops 8 17.1719
local_spread 1 dgemm gflops 8 17.1713
local_spread 1 dgemm gflops 8 17.1635
local_spread 1 dgemm gflops 8 17.1744
local_spread 1 dgemm gflops 8 17.172
local_spread 1 dgemm gflops 8 17.1737
local_spread 1 dgemm gflops 8 17.175
local_spread 1 dgemm gflops 8 17.1786
local_spread 1 dgemm gflops 8 17.1775
local_spread 1 dgemm gflops 8 17.1758
local_spread 1 dgemm gflops 8 17.1725
local_spread 1 dgemm gflops 8 17.175
local_spread 1 dgemm gflops 8 17.1748
local_spread 1 dgemm gflops 8 17.1793
local_spread 1 dgemm gflops 8 17.1748
local_spread 1 dgemm gflops 8 17.1796
local_spread 1 dgemm gflops 8 17.1707
local_spread 1 dgemm gflops 8 17.1815
local_spread 1 dgemm gflops 8 17.1777
local_spread 1 dgemm gflops 8 17.1785
local_spread 1 dgemm gflops 8 17.1793
local_spread 1 dgemm gflops 8 17.1759
local_spread 1 dgemm gflops 16 9.30952
local_spread 1 dgemm gflops 16 17.1704
local_spread 1 dgemm gflops 16 17.1837
local_spread 1 dgemm gflops 16 17.1712
local_spread 1 dgemm gflops 16 17.177
local_spread 1 dgemm gflops 16 17.1717
local_spread 1 dgemm gflops 16 17.171
local_spread 1 dgemm gflops 16 17.1787
local_spread 1 dgemm gflops 16 17.1789
local_spread 1 dgemm gflops 16 17.1711
local_spread 1 dgemm gflops 16 17.1775
local_spread 1 dgemm gflops 16 17.1774
local_spread 1 dgemm gflops 16 17.1763
local_spread 1 dgemm gflops 16 17.1765
local_spread 1 dgemm gflops 16 17.1796
local_spread 1 dgemm gflops 16 17.1723
local_spread 1 dgemm gflops 16 17.1754
local_spread 1 dgemm gflops 16 17.171
local_spread 1 dgemm gflops 16 17.1826
local_spread 1 dgemm gflops 16 17.1765
local_spread 1 dgemm gflops 16 17.1815
local_spread 1 dgemm gflops 16 17.1738
local_spread 1 dgemm gflops 16 17.1792
local_spread 1 dgemm gflops 16 17.1744
local_spread 1 dgemm gflops 16 17.1857
local_spread 1 dgemm gflops 16 17.1774
local_spread 1 dgemm gflops 16 17.1786
local_spread 1 dgemm gflops 16 17.1755
local_spread 1 dgemm gflops 16 17.1732
local_spread 1 dgemm gflops 16 17.1704
local_spread 1 dgemm gflops 16 17.1793
local_spread 1 dgemm gflops 16 17.1762
local_spread 1 dgemm gflops 16 17.1815
local_spread 1 dgemm gflops 16 17.1764
local_spread 1 dgemm gflops 16 17.1779
local_spread 1 dgemm gflops 16 17.1784
local_spread 1 dgemm gflops 16 17.1798
local_spread 1 dgemm gflops 16 17.1767
local_spread 1 dgemm gflops 16 17.1835
local_spread 1 dgemm gflops 16 17.1773
local_spread 1 dgemm gflops 16 17.1828
local_spread 1 dgemm gflops 16 17.1788
local_spread 1 dgemm gflops 16 17.1665
local_spread 1 dgemm gflops 16 17.1745
local_spread 1 dgemm gflops 16 17.18
local_spread 1 dgemm gflops 16 17.1838
local_spread 1 dgemm gflops 16 17.1761
local_spread 1 dgemm gflops 16 17.1817
local_spread 1 dgemm gflops 16 17.1754
local_spread 1 dgemm gflops 16 17.1654
local_spread 1 dgemm gflops 24 9.46657
local_spread 1 dgemm gflops 24 17.1743
local_spread 1 dgemm gflops 24 17.1742
local_spread 1 dgemm gflops 24 17.1716
local_spread 1 dgemm gflops 24 17.1768
local_spread 1 dgemm gflops 24 17.1734
local_spread 1 dgemm gflops 24 17.172
local_spread 1 dgemm gflops 24 17.1725
local_spread 1 dgemm gflops 24 17.1728
local_spread 1 dgemm gflops 24 17.1754
local_spread 1 dgemm gflops 24 17.1708
local_spread 1 dgemm gflops 24 17.1665
local_spread 1 dgemm gflops 24 17.1797
local_spread 1 dgemm gflops 24 17.1647
local_spread 1 dgemm gflops 24 17.177
local_spread 1 dgemm gflops 24 17.17
local_spread 1 dgemm gflops 24 17.1776
local_spread 1 dgemm gflops 24 17.1707
local_spread 1 dgemm gflops 24 17.1731
local_spread 1 dgemm gflops 24 17.1706
local_spread 1 dgemm gflops 24 17.1792
local_spread 1 dgemm gflops 24 17.1725
local_spread 1 dgemm gflops 24 17.1758
local_spread 1 dgemm gflops 24 17.1742
local_spread 1 dgemm gflops 24 17.1711
local_spread 1 dgemm gflops 24 17.1742
local_spread 1 dgemm gflops 24 17.172
local_spread 1 dgemm gflops 24 17.1675
local_spread 1 dgemm gflops 24 17.1755
local_spread 1 dgemm gflops 24 17.1676
local_spread 1 dgemm gflops 24 17.1732
local_spread 1 dgemm gflops 24 17.1752
local_spread 1 dgemm gflops 24 17.1753
