Exp total_cores kernel unit thread result
256_local_spread 1 dgemm gflops 0 3.0268
256_local_spread 1 dgemm gflops 0 11.9887
256_local_spread 1 dgemm gflops 0 16.6418
256_local_spread 1 dgemm gflops 0 16.7459
256_local_spread 1 dgemm gflops 0 16.6517
256_local_spread 1 dgemm gflops 0 16.7373
256_local_spread 1 dgemm gflops 0 16.663
256_local_spread 1 dgemm gflops 0 16.7519
256_local_spread 1 dgemm gflops 0 16.6692
256_local_spread 1 dgemm gflops 0 16.7472
256_local_spread 1 dgemm gflops 0 16.6652
256_local_spread 1 dgemm gflops 0 16.7501
256_local_spread 1 dgemm gflops 0 16.6787
256_local_spread 1 dgemm gflops 0 16.7597
256_local_spread 1 dgemm gflops 0 16.6956
256_local_spread 1 dgemm gflops 0 16.7642
256_local_spread 1 dgemm gflops 0 16.7
256_local_spread 1 dgemm gflops 0 16.7383
256_local_spread 1 dgemm gflops 0 16.6731
256_local_spread 1 dgemm gflops 0 16.7459
256_local_spread 1 dgemm gflops 0 16.6677
256_local_spread 1 dgemm gflops 0 16.7521
256_local_spread 1 dgemm gflops 0 16.6932
256_local_spread 1 dgemm gflops 0 16.7555
256_local_spread 1 dgemm gflops 0 16.7004
256_local_spread 1 dgemm gflops 0 16.7466
256_local_spread 1 dgemm gflops 0 16.6761
256_local_spread 1 dgemm gflops 0 16.7575
256_local_spread 1 dgemm gflops 0 16.6588
256_local_spread 1 dgemm gflops 0 16.7628
256_local_spread 1 dgemm gflops 0 16.6979
256_local_spread 1 dgemm gflops 0 16.7559
256_local_spread 1 dgemm gflops 0 16.6925
256_local_spread 1 dgemm gflops 0 16.7437
256_local_spread 1 dgemm gflops 0 16.6704
256_local_spread 1 dgemm gflops 0 16.761
256_local_spread 1 dgemm gflops 0 16.6735
256_local_spread 1 dgemm gflops 0 16.7545
256_local_spread 1 dgemm gflops 0 16.6825
256_local_spread 1 dgemm gflops 0 16.7542
256_local_spread 1 dgemm gflops 0 16.6728
256_local_spread 1 dgemm gflops 0 16.7604
256_local_spread 1 dgemm gflops 0 16.6752
256_local_spread 1 dgemm gflops 0 16.7477
256_local_spread 1 dgemm gflops 0 16.6923
256_local_spread 1 dgemm gflops 0 16.7544
256_local_spread 1 dgemm gflops 0 16.6964
256_local_spread 1 dgemm gflops 0 16.7464
256_local_spread 1 dgemm gflops 0 16.6951
256_local_spread 1 dgemm gflops 0 16.734
256_local_spread 1 dgemm gflops 8 3.09378
256_local_spread 1 dgemm gflops 8 16.68
256_local_spread 1 dgemm gflops 8 16.7593
256_local_spread 1 dgemm gflops 8 16.7128
256_local_spread 1 dgemm gflops 8 16.7533
256_local_spread 1 dgemm gflops 8 16.7105
256_local_spread 1 dgemm gflops 8 16.754
256_local_spread 1 dgemm gflops 8 16.7258
256_local_spread 1 dgemm gflops 8 16.7497
256_local_spread 1 dgemm gflops 8 16.7331
256_local_spread 1 dgemm gflops 8 16.7507
256_local_spread 1 dgemm gflops 8 16.7291
256_local_spread 1 dgemm gflops 8 16.7502
256_local_spread 1 dgemm gflops 8 16.7399
256_local_spread 1 dgemm gflops 8 16.7538
256_local_spread 1 dgemm gflops 8 16.7294
256_local_spread 1 dgemm gflops 8 16.7565
256_local_spread 1 dgemm gflops 8 16.7335
256_local_spread 1 dgemm gflops 8 16.755
256_local_spread 1 dgemm gflops 8 16.7141
256_local_spread 1 dgemm gflops 8 16.7556
256_local_spread 1 dgemm gflops 8 16.7321
256_local_spread 1 dgemm gflops 8 16.7532
256_local_spread 1 dgemm gflops 8 16.72
256_local_spread 1 dgemm gflops 8 16.7607
256_local_spread 1 dgemm gflops 8 16.7343
256_local_spread 1 dgemm gflops 8 16.7519
256_local_spread 1 dgemm gflops 8 16.7229
256_local_spread 1 dgemm gflops 8 16.7518
256_local_spread 1 dgemm gflops 8 16.7324
256_local_spread 1 dgemm gflops 8 16.7514
256_local_spread 1 dgemm gflops 8 16.7302
256_local_spread 1 dgemm gflops 8 16.7511
256_local_spread 1 dgemm gflops 8 16.7365
256_local_spread 1 dgemm gflops 8 16.7454
256_local_spread 1 dgemm gflops 8 16.7297
256_local_spread 1 dgemm gflops 8 16.7494
256_local_spread 1 dgemm gflops 8 16.7207
256_local_spread 1 dgemm gflops 8 16.7611
256_local_spread 1 dgemm gflops 8 16.7316
256_local_spread 1 dgemm gflops 8 16.749
256_local_spread 1 dgemm gflops 8 16.7231
256_local_spread 1 dgemm gflops 8 16.7498
256_local_spread 1 dgemm gflops 8 16.7206
256_local_spread 1 dgemm gflops 8 16.7467
256_local_spread 1 dgemm gflops 8 16.7267
256_local_spread 1 dgemm gflops 8 16.7558
256_local_spread 1 dgemm gflops 8 16.7313
256_local_spread 1 dgemm gflops 8 16.7556
256_local_spread 1 dgemm gflops 8 16.7466
256_local_spread 1 dgemm gflops 16 3.13935
256_local_spread 1 dgemm gflops 16 16.7048
256_local_spread 1 dgemm gflops 16 16.7259
256_local_spread 1 dgemm gflops 16 16.7117
256_local_spread 1 dgemm gflops 16 16.7581
256_local_spread 1 dgemm gflops 16 16.7138
256_local_spread 1 dgemm gflops 16 16.7541
256_local_spread 1 dgemm gflops 16 16.731
256_local_spread 1 dgemm gflops 16 16.7692
256_local_spread 1 dgemm gflops 16 16.7191
256_local_spread 1 dgemm gflops 16 16.7582
256_local_spread 1 dgemm gflops 16 16.7289
256_local_spread 1 dgemm gflops 16 16.7694
256_local_spread 1 dgemm gflops 16 16.7327
256_local_spread 1 dgemm gflops 16 16.751
256_local_spread 1 dgemm gflops 16 16.7413
256_local_spread 1 dgemm gflops 16 16.7551
256_local_spread 1 dgemm gflops 16 16.7383
256_local_spread 1 dgemm gflops 16 16.7564
256_local_spread 1 dgemm gflops 16 16.7264
256_local_spread 1 dgemm gflops 16 16.7563
256_local_spread 1 dgemm gflops 16 16.7046
256_local_spread 1 dgemm gflops 16 16.7543
256_local_spread 1 dgemm gflops 16 16.7271
256_local_spread 1 dgemm gflops 16 16.7379
256_local_spread 1 dgemm gflops 16 16.7404
256_local_spread 1 dgemm gflops 16 16.7522
256_local_spread 1 dgemm gflops 16 16.7235
256_local_spread 1 dgemm gflops 16 16.7602
256_local_spread 1 dgemm gflops 16 16.7202
256_local_spread 1 dgemm gflops 16 16.7589
256_local_spread 1 dgemm gflops 16 16.7421
256_local_spread 1 dgemm gflops 16 16.7584
256_local_spread 1 dgemm gflops 16 16.7314
256_local_spread 1 dgemm gflops 16 16.7583
256_local_spread 1 dgemm gflops 16 16.7081
256_local_spread 1 dgemm gflops 16 16.7559
256_local_spread 1 dgemm gflops 16 16.7304
256_local_spread 1 dgemm gflops 16 16.7572
256_local_spread 1 dgemm gflops 16 16.7302
256_local_spread 1 dgemm gflops 16 16.7472
256_local_spread 1 dgemm gflops 16 16.7382
256_local_spread 1 dgemm gflops 16 16.7546
256_local_spread 1 dgemm gflops 16 16.7281
256_local_spread 1 dgemm gflops 16 16.7594
256_local_spread 1 dgemm gflops 16 16.7432
256_local_spread 1 dgemm gflops 16 16.7653
256_local_spread 1 dgemm gflops 16 16.7372
256_local_spread 1 dgemm gflops 16 16.7587
256_local_spread 1 dgemm gflops 16 16.7388
256_local_spread 1 dgemm gflops 24 3.17665
256_local_spread 1 dgemm gflops 24 16.6985
256_local_spread 1 dgemm gflops 24 16.7515
256_local_spread 1 dgemm gflops 24 16.7312
256_local_spread 1 dgemm gflops 24 16.7659
256_local_spread 1 dgemm gflops 24 16.7177
256_local_spread 1 dgemm gflops 24 16.7719
256_local_spread 1 dgemm gflops 24 10.9069
256_local_spread 1 dgemm gflops 24 16.7145
256_local_spread 1 dgemm gflops 24 16.7468
256_local_spread 1 dgemm gflops 24 16.7155
256_local_spread 1 dgemm gflops 24 16.7464
256_local_spread 1 dgemm gflops 24 16.7347
256_local_spread 1 dgemm gflops 24 16.7564
256_local_spread 1 dgemm gflops 24 16.7228
256_local_spread 1 dgemm gflops 24 16.7594
256_local_spread 1 dgemm gflops 24 16.7376
256_local_spread 1 dgemm gflops 24 16.7481
256_local_spread 1 dgemm gflops 24 16.7075
256_local_spread 1 dgemm gflops 24 16.7558
256_local_spread 1 dgemm gflops 24 16.7186
256_local_spread 1 dgemm gflops 24 16.75
256_local_spread 1 dgemm gflops 24 16.6995
256_local_spread 1 dgemm gflops 24 16.7579
256_local_spread 1 dgemm gflops 24 16.7181
256_local_spread 1 dgemm gflops 24 16.7579
256_local_spread 1 dgemm gflops 24 16.7264
256_local_spread 1 dgemm gflops 24 16.7552
256_local_spread 1 dgemm gflops 24 16.718
256_local_spread 1 dgemm gflops 24 12.1312
256_local_spread 1 dgemm gflops 24 16.7301
256_local_spread 1 dgemm gflops 24 16.7467
256_local_spread 1 dgemm gflops 24 16.7241
256_local_spread 1 dgemm gflops 24 16.7438
256_local_spread 1 dgemm gflops 24 16.716
256_local_spread 1 dgemm gflops 24 16.736
256_local_spread 1 dgemm gflops 24 16.7169
256_local_spread 1 dgemm gflops 24 16.757
256_local_spread 1 dgemm gflops 24 16.7145
256_local_spread 1 dgemm gflops 24 16.7382
256_local_spread 1 dgemm gflops 24 16.7116
256_local_spread 1 dgemm gflops 24 16.7437
256_local_spread 1 dgemm gflops 24 16.7029
256_local_spread 1 dgemm gflops 24 16.7287
256_local_spread 1 dgemm gflops 24 10.7831
256_local_spread 1 dgemm gflops 24 16.7062
256_local_spread 1 dgemm gflops 24 16.7359
256_local_spread 1 dgemm gflops 24 16.718
256_local_spread 1 dgemm gflops 24 16.7372
256_local_spread 1 dgemm gflops 24 16.6876
256_local_spread 1 dgemm gflops 32 4.7492
256_local_spread 1 dgemm gflops 32 16.6724
256_local_spread 1 dgemm gflops 32 16.7409
256_local_spread 1 dgemm gflops 32 11.4916
256_local_spread 1 dgemm gflops 32 16.7154
256_local_spread 1 dgemm gflops 32 16.767
256_local_spread 1 dgemm gflops 32 16.7264
256_local_spread 1 dgemm gflops 32 16.7663
256_local_spread 1 dgemm gflops 32 11.3889
256_local_spread 1 dgemm gflops 32 16.7283
256_local_spread 1 dgemm gflops 32 16.7079
256_local_spread 1 dgemm gflops 32 16.735
256_local_spread 1 dgemm gflops 32 16.7207
256_local_spread 1 dgemm gflops 32 16.7289
256_local_spread 1 dgemm gflops 32 16.7107
256_local_spread 1 dgemm gflops 32 11.5136
256_local_spread 1 dgemm gflops 32 16.7178
