Exp total_cores kernel unit thread result
256_remote_spread 1 dgemm gflops 0 2.92464
256_remote_spread 1 dgemm gflops 0 16.7177
256_remote_spread 1 dgemm gflops 0 16.6564
256_remote_spread 1 dgemm gflops 0 16.7598
256_remote_spread 1 dgemm gflops 0 16.6874
256_remote_spread 1 dgemm gflops 0 16.767
256_remote_spread 1 dgemm gflops 0 16.6861
256_remote_spread 1 dgemm gflops 0 16.7525
256_remote_spread 1 dgemm gflops 0 16.6792
256_remote_spread 1 dgemm gflops 0 11.4565
256_remote_spread 1 dgemm gflops 0 16.7023
256_remote_spread 1 dgemm gflops 0 16.7787
256_remote_spread 1 dgemm gflops 0 16.708
256_remote_spread 1 dgemm gflops 0 16.7997
256_remote_spread 1 dgemm gflops 0 16.6884
256_remote_spread 1 dgemm gflops 0 16.6927
256_remote_spread 1 dgemm gflops 0 16.779
256_remote_spread 1 dgemm gflops 0 11.0178
256_remote_spread 1 dgemm gflops 0 16.7484
256_remote_spread 1 dgemm gflops 0 16.7015
256_remote_spread 1 dgemm gflops 0 16.7653
256_remote_spread 1 dgemm gflops 0 16.681
256_remote_spread 1 dgemm gflops 0 16.7675
256_remote_spread 1 dgemm gflops 0 16.6783
256_remote_spread 1 dgemm gflops 0 11.3304
256_remote_spread 1 dgemm gflops 0 16.7722
256_remote_spread 1 dgemm gflops 0 16.7068
256_remote_spread 1 dgemm gflops 0 16.7843
256_remote_spread 1 dgemm gflops 0 16.704
256_remote_spread 1 dgemm gflops 0 16.7842
256_remote_spread 1 dgemm gflops 0 16.7053
256_remote_spread 1 dgemm gflops 0 16.7856
256_remote_spread 1 dgemm gflops 0 16.705
256_remote_spread 1 dgemm gflops 0 16.7732
256_remote_spread 1 dgemm gflops 0 16.7211
256_remote_spread 1 dgemm gflops 0 16.7776
256_remote_spread 1 dgemm gflops 0 16.7196
256_remote_spread 1 dgemm gflops 0 16.7874
256_remote_spread 1 dgemm gflops 0 16.6929
256_remote_spread 1 dgemm gflops 0 16.7879
256_remote_spread 1 dgemm gflops 0 16.7036
256_remote_spread 1 dgemm gflops 0 16.7929
256_remote_spread 1 dgemm gflops 0 16.707
256_remote_spread 1 dgemm gflops 0 16.7748
256_remote_spread 1 dgemm gflops 0 16.6907
256_remote_spread 1 dgemm gflops 0 16.7915
256_remote_spread 1 dgemm gflops 0 16.7083
256_remote_spread 1 dgemm gflops 0 16.7832
256_remote_spread 1 dgemm gflops 0 16.7096
256_remote_spread 1 dgemm gflops 0 10.9123
256_remote_spread 1 dgemm gflops 8 2.86688
256_remote_spread 1 dgemm gflops 8 16.7393
256_remote_spread 1 dgemm gflops 8 16.7516
256_remote_spread 1 dgemm gflops 8 16.7709
256_remote_spread 1 dgemm gflops 8 16.7718
256_remote_spread 1 dgemm gflops 8 16.7724
256_remote_spread 1 dgemm gflops 8 16.7545
256_remote_spread 1 dgemm gflops 8 16.7788
256_remote_spread 1 dgemm gflops 8 16.7423
256_remote_spread 1 dgemm gflops 8 16.7808
256_remote_spread 1 dgemm gflops 8 16.7476
256_remote_spread 1 dgemm gflops 8 16.779
256_remote_spread 1 dgemm gflops 8 16.7341
256_remote_spread 1 dgemm gflops 8 16.7761
256_remote_spread 1 dgemm gflops 8 16.7486
256_remote_spread 1 dgemm gflops 8 16.7841
256_remote_spread 1 dgemm gflops 8 16.7529
256_remote_spread 1 dgemm gflops 8 16.7637
256_remote_spread 1 dgemm gflops 8 16.7493
256_remote_spread 1 dgemm gflops 8 16.7782
256_remote_spread 1 dgemm gflops 8 16.7644
