Exp total_cores kernel unit thread result
256_local_spread 10 dgemm gflops 0 12.2336
256_local_spread 10 dgemm gflops 0 15.6333
256_local_spread 10 dgemm gflops 0 15.8171
256_local_spread 10 dgemm gflops 0 15.7352
256_local_spread 10 dgemm gflops 0 15.8223
256_local_spread 10 dgemm gflops 0 15.8757
256_local_spread 10 dgemm gflops 0 15.9526
256_local_spread 10 dgemm gflops 0 15.9637
256_local_spread 10 dgemm gflops 0 16.0572
256_local_spread 10 dgemm gflops 0 16.0591
256_local_spread 10 dgemm gflops 0 16.0271
256_local_spread 10 dgemm gflops 0 15.8807
256_local_spread 10 dgemm gflops 0 16.1203
256_local_spread 10 dgemm gflops 0 16.0702
256_local_spread 10 dgemm gflops 0 16.1538
256_local_spread 10 dgemm gflops 0 16.1225
256_local_spread 10 dgemm gflops 0 16.1657
256_local_spread 10 dgemm gflops 0 16.0329
256_local_spread 10 dgemm gflops 0 16.1542
256_local_spread 10 dgemm gflops 0 16.1537
256_local_spread 10 dgemm gflops 0 16.1587
256_local_spread 10 dgemm gflops 0 16.1797
256_local_spread 10 dgemm gflops 0 16.1587
256_local_spread 10 dgemm gflops 0 16.1475
256_local_spread 10 dgemm gflops 0 16.17
256_local_spread 10 dgemm gflops 0 15.7643
256_local_spread 10 dgemm gflops 0 16.1484
256_local_spread 10 dgemm gflops 0 16.158
256_local_spread 10 dgemm gflops 0 16.1584
256_local_spread 10 dgemm gflops 0 16.1648
256_local_spread 10 dgemm gflops 0 15.8152
256_local_spread 10 dgemm gflops 0 16.1921
256_local_spread 10 dgemm gflops 0 16.1488
256_local_spread 10 dgemm gflops 0 16.1908
256_local_spread 10 dgemm gflops 0 16.1738
256_local_spread 10 dgemm gflops 0 16.1902
256_local_spread 10 dgemm gflops 0 16.1675
256_local_spread 10 dgemm gflops 0 16.1929
256_local_spread 10 dgemm gflops 0 16.1898
256_local_spread 10 dgemm gflops 0 16.2024
256_local_spread 10 dgemm gflops 0 16.2076
256_local_spread 10 dgemm gflops 0 16.2116
256_local_spread 10 dgemm gflops 0 16.2027
256_local_spread 10 dgemm gflops 0 16.1942
256_local_spread 10 dgemm gflops 0 16.195
256_local_spread 10 dgemm gflops 0 16.2025
256_local_spread 10 dgemm gflops 0 16.1845
256_local_spread 10 dgemm gflops 0 16.1174
256_local_spread 10 dgemm gflops 0 16.2003
256_local_spread 10 dgemm gflops 0 16.1108
256_local_spread 10 dgemm gflops 1 12.2174
256_local_spread 10 dgemm gflops 1 15.5022
256_local_spread 10 dgemm gflops 1 15.8494
256_local_spread 10 dgemm gflops 1 15.7191
256_local_spread 10 dgemm gflops 1 15.7486
256_local_spread 10 dgemm gflops 1 15.9247
256_local_spread 10 dgemm gflops 1 15.9182
256_local_spread 10 dgemm gflops 1 15.9386
256_local_spread 10 dgemm gflops 1 16.013
256_local_spread 10 dgemm gflops 1 16.0332
256_local_spread 10 dgemm gflops 1 16.039
256_local_spread 10 dgemm gflops 1 15.813
256_local_spread 10 dgemm gflops 1 16.0536
256_local_spread 10 dgemm gflops 1 15.9331
