Exp total_cores kernel unit thread result
512_remote_spread 10 dgemm gflops 0 11.4881
512_remote_spread 10 dgemm gflops 0 14.8864
512_remote_spread 10 dgemm gflops 0 15.0642
512_remote_spread 10 dgemm gflops 0 14.9082
512_remote_spread 10 dgemm gflops 0 15.169
512_remote_spread 10 dgemm gflops 0 14.8934
512_remote_spread 10 dgemm gflops 0 15.0316
512_remote_spread 10 dgemm gflops 0 15.1773
512_remote_spread 10 dgemm gflops 0 15.2522
512_remote_spread 10 dgemm gflops 0 15.2806
512_remote_spread 10 dgemm gflops 0 14.9841
512_remote_spread 10 dgemm gflops 0 15.1345
512_remote_spread 10 dgemm gflops 0 15.2875
512_remote_spread 10 dgemm gflops 0 15.2745
512_remote_spread 10 dgemm gflops 0 15.2988
512_remote_spread 10 dgemm gflops 0 14.9943
512_remote_spread 10 dgemm gflops 0 15.2446
512_remote_spread 10 dgemm gflops 0 15.2187
512_remote_spread 10 dgemm gflops 0 15.2685
512_remote_spread 10 dgemm gflops 0 15.2539
512_remote_spread 10 dgemm gflops 0 15.2987
512_remote_spread 10 dgemm gflops 0 15.0193
512_remote_spread 10 dgemm gflops 0 15.2403
512_remote_spread 10 dgemm gflops 0 15.2469
512_remote_spread 10 dgemm gflops 0 15.2224
512_remote_spread 10 dgemm gflops 0 15.1966
512_remote_spread 10 dgemm gflops 0 15.2308
512_remote_spread 10 dgemm gflops 0 15.2584
512_remote_spread 10 dgemm gflops 0 15.2477
512_remote_spread 10 dgemm gflops 0 15.2255
512_remote_spread 10 dgemm gflops 0 15.2076
512_remote_spread 10 dgemm gflops 0 15.2199
512_remote_spread 10 dgemm gflops 0 15.2245
512_remote_spread 10 dgemm gflops 0 15.2443
512_remote_spread 10 dgemm gflops 0 15.2492
512_remote_spread 10 dgemm gflops 0 15.1917
512_remote_spread 10 dgemm gflops 0 15.2214
512_remote_spread 10 dgemm gflops 0 15.2223
512_remote_spread 10 dgemm gflops 0 15.1924
512_remote_spread 10 dgemm gflops 0 14.8514
512_remote_spread 10 dgemm gflops 0 15.2128
512_remote_spread 10 dgemm gflops 0 14.9202
512_remote_spread 10 dgemm gflops 0 15.218
512_remote_spread 10 dgemm gflops 0 15.1812
512_remote_spread 10 dgemm gflops 0 15.2231
512_remote_spread 10 dgemm gflops 0 15.2479
512_remote_spread 10 dgemm gflops 0 15.23
512_remote_spread 10 dgemm gflops 0 15.2442
512_remote_spread 10 dgemm gflops 0 15.2386
512_remote_spread 10 dgemm gflops 0 15.1953
512_remote_spread 10 dgemm gflops 1 11.3764
512_remote_spread 10 dgemm gflops 1 14.7875
512_remote_spread 10 dgemm gflops 1 14.9469
512_remote_spread 10 dgemm gflops 1 14.8668
512_remote_spread 10 dgemm gflops 1 15.0448
512_remote_spread 10 dgemm gflops 1 15.09
512_remote_spread 10 dgemm gflops 1 15.0306
512_remote_spread 10 dgemm gflops 1 15.0814
512_remote_spread 10 dgemm gflops 1 15.165
512_remote_spread 10 dgemm gflops 1 15.1352
512_remote_spread 10 dgemm gflops 1 15.1506
512_remote_spread 10 dgemm gflops 1 15.2068
512_remote_spread 10 dgemm gflops 1 15.1831
512_remote_spread 10 dgemm gflops 1 15.2089
512_remote_spread 10 dgemm gflops 1 15.1844
512_remote_spread 10 dgemm gflops 1 15.1935
512_remote_spread 10 dgemm gflops 1 15.1489
512_remote_spread 10 dgemm gflops 1 15.1186
512_remote_spread 10 dgemm gflops 1 15.1833
512_remote_spread 10 dgemm gflops 1 15.2086
512_remote_spread 10 dgemm gflops 1 15.2016
512_remote_spread 10 dgemm gflops 1 15.1452
512_remote_spread 10 dgemm gflops 1 15.1302
512_remote_spread 10 dgemm gflops 1 15.1871
512_remote_spread 10 dgemm gflops 1 15.1913
512_remote_spread 10 dgemm gflops 1 15.1579
512_remote_spread 10 dgemm gflops 1 15.1777
